level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
5,1,1,1,1,1,539,91,179,22,96.571136,DISCOUNTED
5,1,1,1,1,2,728,91,135,22,96.195984,AMOUNT:
5,1,1,1,1,3,967,91,54,22,96.909485,0.00
5,1,1,1,2,1,547,133,180,22,96.350784,DISCOUNTED
5,1,1,1,2,2,737,133,89,22,96.408188,TOTAL:
5,1,1,1,2,3,929,133,54,22,96.893799,0.00
5,1,1,1,3,1,564,175,163,22,96.454559,DOCUMENT
5,1,1,1,3,2,736,175,89,22,96.089752,TOTAL:
5,1,1,1,3,3,904,175,102,22,96.733177,2755.82
5,1,2,1,1,1,153,384,67,22,92.360283,MET1
5,1,2,1,1,2,244,384,59,23,90.829201,0171
5,1,2,1,1,3,328,384,124,23,90.756348,INV-0012
5,1,2,1,1,4,471,384,121,23,96.199608,04-07-25
5,1,2,1,1,5,613,385,56,21,96.154015,END
5,1,2,1,1,6,682,384,59,23,96.154015,MSG
